Record Type,VIN,Registration Class,City,State,Zip,County,Model Year,Make,Body Type,Fuel Type,Unladen Weight,Maximum Gross Weight,Passengers,Reg Valid Date,Reg Expiration Date,Color,Scofflaw Indicator,Suspension Indicator,Revocation Indicator
VEH ,1N4AZ0CP0FC312481,PAS,WADING RIVER   ,NY,11792,SUFFOLK     ,2015,NISSA,4DSD,ELECTRIC,3243,,,07/07/2018,06/29/2019,WH   ,N,N,N
VEH ,1N4AZ0CP0FC311623,PAS,BRONX          ,NY,10469,BRONX       ,2015,NISSA,4DSD,ELECTRIC,3276,,,01/24/2017,01/25/2019,GY   ,N,N,N
VEH ,1N4AZ0CP0FC309290,PAS,ARDSLEY        ,NY,10502,WESTCHESTER ,2015,NISSA,4DSD,ELECTRIC,3256,,,05/21/2018,05/20/2020,GY   ,N,N,N
VEH ,1N4AZ0CP0FC305160,PAS,ALBANY         ,NY,12203,ALBANY      ,2015,NISSA,4DSD,ELECTRIC,3243,,,08/20/2018,08/25/2020,BK   ,N,N,N
VEH ,1N4AZ0CP0EC340330,PAS,CLARENCE CENTE ,NY,14032,ERIE        ,2014,NISSA,4DSD,ELECTRIC,3277,,,09/26/2018,02/06/2019,BK   ,N,N,N
VEH ,1N4AZ0CP0EC337377,PAS,EAST GREENBUSH ,NY,12061,RENSSELAER  ,2014,NISSA,4DSD,ELECTRIC,3242,,,05/24/2018,06/28/2020,WH   ,N,N,N
VEH ,1N4AZ0CP0EC335449,PAS,PENN YAN       ,NY,14527,YATES       ,2014,NISSA,4DSD,ELECTRIC,3242,,,04/06/2018,05/30/2020,BK   ,N,N,N
VEH ,1N4AZ0CP0EC334852,PAS,GETZVILLE      ,NY,14068,ERIE        ,2014,NISSA,4DSD,ELECTRIC,3242,,,08/13/2018,09/10/2020,BL   ,N,N,N
VEH ,1N4AZ0CP0EC331188,PAS,WESTBROOKVILLE ,NY,12785,SULLIVAN    ,2014,NISSA,4DSD,ELECTRIC,3242,,,04/02/2018,05/23/2020,WH   ,N,N,N
VEH ,1N4AZ0CP0DC424906,PAS,MINEOLA        ,NY,11501,NASSAU      ,2013,NISSA,4DSD,ELECTRIC,3291,,,04/10/2017,04/09/2019,BL   ,N,N,N
VEH ,1N4AZ0CP0DC423741,PAS,ALBANY         ,NY,12203,ALBANY      ,2013,NISSA,4DSD,ELECTRIC,3300,,,09/13/2018,09/12/2020,RD   ,N,N,N
VEH ,1N4AZ0CP0DC421973,PAS,ELMIRA HEIGHTS ,NY,14903,CHEMUNG     ,2013,NISSA,4DSD,ELECTRIC,3242,,,02/16/2017,02/15/2019,RD   ,N,N,N
VEH ,1N4AZ0CP0DC412514,PAS,WAPPINGERS FAL ,NY,12590,DUTCHESS    ,2013,NISSA,4DSD,ELECTRIC,3291,,,06/07/2017,07/12/2019,GY   ,N,N,N
VEH ,1N4AZ0CP0DC410178,PAS,SNYDER         ,NY,14226,ERIE        ,2013,NISSA,4DSD,ELECTRIC,3291,,,04/25/2017,07/24/2019,GY   ,N,N,N
VEH ,1N4AZ0CP0DC408740,PAS,WILLIAMSVILLE  ,NY,14221,ERIE        ,2013,NISSA,4DSD,ELECTRIC,3256,,,04/27/2017,04/26/2019,BL   ,N,N,N
